BOOKING_ID,CUSTOMER_ID,BOOKING_DATE,BOOKING_TIME,DESTINATION_TYPE,AMOUNT_SPENT,CURRENCY_CODE,STATUS
101,1,01-11-2024,00:00.0,city,150,USD,confirmed
102,2,02-11-2024,30:00.0,beach,200,CAD,pending
103,3,03-11-2024,15:00.0,mountain,250,EUR,confirmed
104,4,04-11-2024,00:00.0,forest,300,INR,confirmed
105,5,05-11-2024,30:00.0,beach,180,CAD,confirmed
106,6,06-11-2024,00:00.0,mountain,220,EUR,pending
107,7,07-11-2024,00:00.0,city,130,USD,confirmed
108,8,08-11-2024,00:00.0,beach,170,INR,confirmed
109,9,09-11-2024,00:00.0,mountain,250,USD,pending
110,10,10-11-2024,30:00.0,forest,300,CAD,confirmed
111,11,11-11-2024,45:00.0,city,180,EUR,confirmed
112,12,12-11-2024,00:00.0,beach,200,INR,pending
113,13,13-11-2024,00:00.0,mountain,250,USD,confirmed
114,14,14-11-2024,30:00.0,forest,270,CAD,pending
115,15,15-11-2024,30:00.0,city,140,EUR,confirmed
116,16,16-11-2024,15:00.0,mountain,230,INR,confirmed
117,17,17-11-2024,00:00.0,forest,280,USD,pending
118,18,18-11-2024,30:00.0,beach,220,CAD,confirmed
119,19,19-11-2024,00:00.0,city,160,EUR,confirmed
120,20,20-11-2024,00:00.0,mountain,240,INR,pending
121,21,21-11-2024,45:00.0,forest,290,USD,confirmed
122,22,22-11-2024,15:00.0,beach,200,CAD,pending
123,23,23-11-2024,00:00.0,mountain,260,EUR,confirmed
124,24,24-11-2024,30:00.0,city,150,INR,pending
125,25,25-11-2024,00:00.0,forest,310,USD,confirmed
126,26,26-11-2024,30:00.0,beach,180,CAD,confirmed
127,27,27-11-2024,15:00.0,mountain,230,EUR,pending
128,28,28-11-2024,00:00.0,forest,300,INR,confirmed
129,29,29-11-2024,45:00.0,city,130,USD,pending
130,30,30-11-2024,30:00.0,beach,220,CAD,confirmed
